episode,reward,steps,epsilon,alpha,is_slippery,seed,backend
1,0.0,12,0.0,0.1,True,2,native
2,0.0,4,0.0,0.1,True,2,native
3,0.0,8,0.0,0.1,True,2,native
4,0.0,10,0.0,0.1,True,2,native
5,0.0,16,0.0,0.1,True,2,native
6,0.0,2,0.0,0.1,True,2,native
7,0.0,4,0.0,0.1,True,2,native
8,0.0,19,0.0,0.1,True,2,native
9,0.0,4,0.0,0.1,True,2,native
10,0.0,9,0.0,0.1,True,2,native
11,0.0,10,0.0,0.1,True,2,native
12,0.0,15,0.0,0.1,True,2,native
13,0.0,10,0.0,0.1,True,2,native
14,0.0,6,0.0,0.1,True,2,native
15,0.0,7,0.0,0.1,True,2,native
16,0.0,14,0.0,0.1,True,2,native
17,1.0,8,0.0,0.1,True,2,native
18,0.0,9,0.0,0.1,True,2,native
19,0.0,2,0.0,0.1,True,2,native
20,0.0,10,0.0,0.1,True,2,native
21,0.0,13,0.0,0.1,True,2,native
22,0.0,2,0.0,0.1,True,2,native
23,0.0,12,0.0,0.1,True,2,native
24,0.0,5,0.0,0.1,True,2,native
25,0.0,9,0.0,0.1,True,2,native
26,0.0,2,0.0,0.1,True,2,native
27,0.0,10,0.0,0.1,True,2,native
28,0.0,4,0.0,0.1,True,2,native
29,0.0,5,0.0,0.1,True,2,native
30,0.0,14,0.0,0.1,True,2,native
31,0.0,9,0.0,0.1,True,2,native
32,0.0,2,0.0,0.1,True,2,native
33,1.0,13,0.0,0.1,True,2,native
34,0.0,9,0.0,0.1,True,2,native
35,0.0,19,0.0,0.1,True,2,native
36,0.0,2,0.0,0.1,True,2,native
37,0.0,10,0.0,0.1,True,2,native
38,0.0,10,0.0,0.1,True,2,native
39,0.0,2,0.0,0.1,True,2,native
40,0.0,3,0.0,0.1,True,2,native
41,0.0,12,0.0,0.1,True,2,native
42,0.0,10,0.0,0.1,True,2,native
43,0.0,4,0.0,0.1,True,2,native
44,0.0,10,0.0,0.1,True,2,native
45,0.0,5,0.0,0.1,True,2,native
46,0.0,3,0.0,0.1,True,2,native
47,0.0,6,0.0,0.1,True,2,native
48,0.0,10,0.0,0.1,True,2,native
49,0.0,2,0.0,0.1,True,2,native
50,0.0,4,0.0,0.1,True,2,native
51,0.0,2,0.0,0.1,True,2,native
52,0.0,9,0.0,0.1,True,2,native
53,0.0,4,0.0,0.1,True,2,native
54,0.0,10,0.0,0.1,True,2,native
55,0.0,12,0.0,0.1,True,2,native
56,0.0,3,0.0,0.1,True,2,native
57,0.0,12,0.0,0.1,True,2,native
58,0.0,12,0.0,0.1,True,2,native
59,0.0,3,0.0,0.1,True,2,native
60,0.0,15,0.0,0.1,True,2,native
61,0.0,12,0.0,0.1,True,2,native
62,0.0,3,0.0,0.1,True,2,native
63,0.0,2,0.0,0.1,True,2,native
64,0.0,9,0.0,0.1,True,2,native
65,0.0,6,0.0,0.1,True,2,native
66,0.0,17,0.0,0.1,True,2,native
67,0.0,12,0.0,0.1,True,2,native
68,0.0,13,0.0,0.1,True,2,native
69,0.0,7,0.0,0.1,True,2,native
70,0.0,6,0.0,0.1,True,2,native
71,0.0,11,0.0,0.1,True,2,native
72,0.0,4,0.0,0.1,True,2,native
73,0.0,4,0.0,0.1,True,2,native
74,0.0,3,0.0,0.1,True,2,native
75,0.0,17,0.0,0.1,True,2,native
76,0.0,11,0.0,0.1,True,2,native
77,0.0,16,0.0,0.1,True,2,native
78,0.0,17,0.0,0.1,True,2,native
79,0.0,6,0.0,0.1,True,2,native
80,0.0,12,0.0,0.1,True,2,native
81,0.0,15,0.0,0.1,True,2,native
82,0.0,10,0.0,0.1,True,2,native
83,0.0,6,0.0,0.1,True,2,native
84,0.0,7,0.0,0.1,True,2,native
85,0.0,15,0.0,0.1,True,2,native
86,0.0,5,0.0,0.1,True,2,native
87,0.0,31,0.0,0.1,True,2,native
88,0.0,5,0.0,0.1,True,2,native
89,0.0,4,0.0,0.1,True,2,native
90,0.0,14,0.0,0.1,True,2,native
91,0.0,14,0.0,0.1,True,2,native
92,0.0,3,0.0,0.1,True,2,native
93,0.0,7,0.0,0.1,True,2,native
94,0.0,7,0.0,0.1,True,2,native
95,0.0,2,0.0,0.1,True,2,native
96,0.0,10,0.0,0.1,True,2,native
97,0.0,4,0.0,0.1,True,2,native
98,0.0,7,0.0,0.1,True,2,native
99,0.0,2,0.0,0.1,True,2,native
100,0.0,11,0.0,0.1,True,2,native
101,0.0,10,0.0,0.1,True,2,native
102,0.0,19,0.0,0.1,True,2,native
103,0.0,15,0.0,0.1,True,2,native
104,0.0,11,0.0,0.1,True,2,native
105,0.0,2,0.0,0.1,True,2,native
106,0.0,2,0.0,0.1,True,2,native
107,0.0,9,0.0,0.1,True,2,native
108,0.0,5,0.0,0.1,True,2,native
109,0.0,17,0.0,0.1,True,2,native
110,0.0,7,0.0,0.1,True,2,native
111,0.0,8,0.0,0.1,True,2,native
112,0.0,5,0.0,0.1,True,2,native
113,0.0,4,0.0,0.1,True,2,native
114,0.0,6,0.0,0.1,True,2,native
115,0.0,9,0.0,0.1,True,2,native
116,0.0,6,0.0,0.1,True,2,native
117,0.0,5,0.0,0.1,True,2,native
118,0.0,7,0.0,0.1,True,2,native
119,0.0,7,0.0,0.1,True,2,native
120,0.0,8,0.0,0.1,True,2,native
121,0.0,6,0.0,0.1,True,2,native
122,0.0,4,0.0,0.1,True,2,native
123,0.0,27,0.0,0.1,True,2,native
124,0.0,19,0.0,0.1,True,2,native
125,0.0,4,0.0,0.1,True,2,native
126,0.0,7,0.0,0.1,True,2,native
127,0.0,14,0.0,0.1,True,2,native
128,0.0,9,0.0,0.1,True,2,native
129,0.0,3,0.0,0.1,True,2,native
130,0.0,18,0.0,0.1,True,2,native
131,0.0,6,0.0,0.1,True,2,native
132,0.0,16,0.0,0.1,True,2,native
133,0.0,2,0.0,0.1,True,2,native
