condition,title,family,seed,backend,alpha,is_slippery,episodes,final_eval_success,best_eval_success,final_smoothed_reward,mean_reward,convergence_episode
exp1,Exp1 Deterministic Baseline,baseline,0,native,0.1,False,5000,1.0,1.0,0.98,0.9418,500
exp1,Exp1 Deterministic Baseline,baseline,1,native,0.1,False,5000,1.0,1.0,0.9949999999999999,0.915,500
exp1,Exp1 Deterministic Baseline,baseline,2,native,0.1,False,5000,1.0,1.0,0.9849999999999999,0.9098,500
exp1,Exp1 Deterministic Baseline,baseline,3,native,0.1,False,5000,1.0,1.0,0.98,0.9424,500
exp1,Exp1 Deterministic Baseline,baseline,4,native,0.1,False,5000,1.0,1.0,0.9899999999999999,0.9494,500
exp2,Exp2 Stochastic Baseline,baseline,0,native,0.1,True,5000,0.68,0.73,0.67,0.5902,1000
exp2,Exp2 Stochastic Baseline,baseline,1,native,0.1,True,5000,0.19,0.27,0.14,0.1184,
exp2,Exp2 Stochastic Baseline,baseline,2,native,0.1,True,5000,0.12,0.19,0.14500000000000002,0.1092,
exp2,Exp2 Stochastic Baseline,baseline,3,native,0.1,True,5000,0.73,0.73,0.6200000000000001,0.4588,5000
exp2,Exp2 Stochastic Baseline,baseline,4,native,0.1,True,5000,0.51,0.56,0.56,0.3674,
exp3_alpha_0.01,Exp3 Alpha 0.01,alpha,0,native,0.01,True,5000,0.07,0.12,0.09,0.071,
exp3_alpha_0.01,Exp3 Alpha 0.01,alpha,1,native,0.01,True,5000,0.04,0.08,0.055,0.0506,
exp3_alpha_0.01,Exp3 Alpha 0.01,alpha,2,native,0.01,True,5000,0.08,0.12,0.05,0.0656,
exp3_alpha_0.01,Exp3 Alpha 0.01,alpha,3,native,0.01,True,5000,0.07,0.1,0.045,0.0508,
exp3_alpha_0.01,Exp3 Alpha 0.01,alpha,4,native,0.01,True,5000,0.03,0.05,0.03,0.0342,
exp3_alpha_0.10,Exp3 Alpha 0.10,alpha,0,native,0.1,True,5000,0.68,0.73,0.67,0.5902,1000
exp3_alpha_0.10,Exp3 Alpha 0.10,alpha,1,native,0.1,True,5000,0.19,0.27,0.14,0.1184,
exp3_alpha_0.10,Exp3 Alpha 0.10,alpha,2,native,0.1,True,5000,0.12,0.19,0.14500000000000002,0.1092,
exp3_alpha_0.10,Exp3 Alpha 0.10,alpha,3,native,0.1,True,5000,0.73,0.73,0.6200000000000001,0.4588,5000
exp3_alpha_0.10,Exp3 Alpha 0.10,alpha,4,native,0.1,True,5000,0.51,0.56,0.56,0.3674,
exp3_alpha_0.50,Exp3 Alpha 0.50,alpha,0,native,0.5,True,5000,0.58,0.78,0.63,0.5586,1500
exp3_alpha_0.50,Exp3 Alpha 0.50,alpha,1,native,0.5,True,5000,0.64,0.77,0.64,0.5456,500
exp3_alpha_0.50,Exp3 Alpha 0.50,alpha,2,native,0.5,True,5000,0.0,0.75,0.65,0.5486,500
exp3_alpha_0.50,Exp3 Alpha 0.50,alpha,3,native,0.5,True,5000,0.0,0.75,0.5750000000000001,0.567,500
exp3_alpha_0.50,Exp3 Alpha 0.50,alpha,4,native,0.5,True,5000,0.0,0.76,0.495,0.546,2000
exp4_random,Exp4 Random Policy,policy,0,native,0.1,True,5000,0.73,0.73,0.01,0.0136,3500
