condition,title,family,alpha,is_slippery,n_seeds,mean_final_eval_success,std_final_eval_success,mean_best_eval_success,std_best_eval_success,mean_reward,std_reward,mean_convergence_episode,std_convergence_episode
exp1,Exp1 Deterministic Baseline,baseline,0.1,False,5,1.0,0.0,1.0,0.0,0.9316800000000001,0.016051716419124756,500.0,0.0
exp2,Exp2 Stochastic Baseline,baseline,0.1,True,5,0.44600000000000006,0.24952755358877704,0.496,0.22729716232280592,0.3287999999999999,0.18932101837883714,3000.0,2000.0
exp3_alpha_0.01,Exp3 Alpha 0.01,alpha,0.01,True,5,0.05800000000000001,0.019390719429665318,0.094,0.026532998322843195,0.05444,0.01293392438511993,,
exp3_alpha_0.10,Exp3 Alpha 0.10,alpha,0.1,True,5,0.44600000000000006,0.24952755358877704,0.496,0.22729716232280592,0.3287999999999999,0.18932101837883714,3000.0,2000.0
exp3_alpha_0.50,Exp3 Alpha 0.50,alpha,0.5,True,5,0.244,0.2994394763554064,0.7619999999999999,0.011661903789690611,0.5531600000000001,0.008370806412765719,1000.0,632.4555320336759
exp4_random,Exp4 Random Policy,policy,0.1,True,5,0.6699999999999999,0.06572670690061994,0.718,0.011661903789690611,0.013439999999999999,0.0002332380757938119,3200.0,400.0
exp4_epsilon,Exp4 Epsilon-Greedy,policy,0.1,True,5,0.44600000000000006,0.24952755358877704,0.496,0.22729716232280592,0.3287999999999999,0.18932101837883714,3000.0,2000.0
exp4_ucb,Exp4 UCB,policy,0.1,True,5,0.526,0.11603447763488231,0.72,0.027568097504180437,0.20212000000000002,0.05993150757322896,1400.0,374.16573867739413
exp4_boltzmann,Exp4 Boltzmann,policy,0.1,True,5,0.538,0.13731715115017495,0.5800000000000001,0.147648230602334,0.41048,0.09636145287406163,3250.0,750.0
exp5_5x5_det,Exp5 5x5 Deterministic,map_scale,0.1,False,5,1.0,0.0,1.0,0.0,0.7605600000000001,0.1575932181281923,1400.0,916.515138991168
exp5_5x5_sto,Exp5 5x5 Stochastic,map_scale,0.1,True,5,0.084,0.014966629547095761,0.124,0.04758150901348128,0.05023999999999999,0.019970938886291752,,
exp5_6x6_det,Exp5 6x6 Deterministic,map_scale,0.1,False,5,1.0,0.0,1.0,0.0,0.43323999999999996,0.23568118804860097,3100.0,1200.0
exp5_6x6_sto,Exp5 6x6 Stochastic,map_scale,0.1,True,5,0.01,0.01549193338482967,0.02,0.010954451150103323,0.00596,0.004028697059844535,,
exp6_5x5_map0,Exp6 5x5 Map 0,map_pool,0.1,True,1,0.08,0.0,0.08,0.0,0.0278,0.0,,
exp6_5x5_map1,Exp6 5x5 Map 1,map_pool,0.1,True,1,0.54,0.0,0.54,0.0,0.2366,0.0,,
exp6_5x5_map2,Exp6 5x5 Map 2,map_pool,0.1,True,1,0.96,0.0,0.96,0.0,0.678,0.0,1000.0,0.0
exp6_5x5_map3,Exp6 5x5 Map 3,map_pool,0.1,True,1,0.39,0.0,0.45,0.0,0.262,0.0,,
exp6_5x5_map4,Exp6 5x5 Map 4,map_pool,0.1,True,1,0.96,0.0,0.98,0.0,0.8856,0.0,500.0,0.0
exp6_5x5_map5,Exp6 5x5 Map 5,map_pool,0.1,True,1,0.13,0.0,0.15,0.0,0.03,0.0,,
exp6_5x5_map6,Exp6 5x5 Map 6,map_pool,0.1,True,1,0.84,0.0,0.84,0.0,0.3972,0.0,2500.0,0.0
exp6_5x5_map7,Exp6 5x5 Map 7,map_pool,0.1,True,1,0.88,0.0,0.89,0.0,0.6656,0.0,1500.0,0.0
exp6_5x5_map8,Exp6 5x5 Map 8,map_pool,0.1,True,1,0.3,0.0,0.35,0.0,0.1666,0.0,,
exp6_5x5_map9,Exp6 5x5 Map 9,map_pool,0.1,True,1,1.0,0.0,1.0,0.0,0.9092,0.0,500.0,0.0
exp6_6x6_map0,Exp6 6x6 Map 0,map_pool,0.1,True,1,0.0,0.0,0.02,0.0,0.0024,0.0,,
exp6_6x6_map1,Exp6 6x6 Map 1,map_pool,0.1,True,1,0.19,0.0,0.19,0.0,0.1088,0.0,,
exp6_6x6_map2,Exp6 6x6 Map 2,map_pool,0.1,True,1,0.0,0.0,0.03,0.0,0.0066,0.0,,
exp6_6x6_map3,Exp6 6x6 Map 3,map_pool,0.1,True,1,0.11,0.0,0.11,0.0,0.0272,0.0,,
exp6_6x6_map4,Exp6 6x6 Map 4,map_pool,0.1,True,1,0.83,0.0,0.83,0.0,0.4642,0.0,3500.0,0.0
exp6_6x6_map5,Exp6 6x6 Map 5,map_pool,0.1,True,1,0.15,0.0,0.15,0.0,0.0328,0.0,,
exp6_6x6_map6,Exp6 6x6 Map 6,map_pool,0.1,True,1,0.0,0.0,0.04,0.0,0.0026,0.0,,
exp6_6x6_map7,Exp6 6x6 Map 7,map_pool,0.1,True,1,0.04,0.0,0.05,0.0,0.0186,0.0,,
exp6_6x6_map8,Exp6 6x6 Map 8,map_pool,0.1,True,1,0.0,0.0,0.0,0.0,0.0002,0.0,,
exp6_6x6_map9,Exp6 6x6 Map 9,map_pool,0.1,True,1,0.22,0.0,0.3,0.0,0.1654,0.0,,
