condition,title,family,seed,backend,alpha,is_slippery,episodes,final_eval_success,best_eval_success,final_smoothed_reward,mean_reward,convergence_episode
exp1,Exp1 Deterministic Baseline,baseline,0,native,0.1,False,10000,1.0,1.0,0.9850000000000001,0.9661,500
exp1,Exp1 Deterministic Baseline,baseline,1,native,0.1,False,10000,1.0,1.0,0.9900000000000001,0.9516,500
exp1,Exp1 Deterministic Baseline,baseline,2,native,0.1,False,10000,1.0,1.0,0.9800000000000001,0.9496,500
exp1,Exp1 Deterministic Baseline,baseline,3,native,0.1,False,10000,1.0,1.0,0.9950000000000001,0.9668,500
exp1,Exp1 Deterministic Baseline,baseline,4,native,0.1,False,10000,1.0,1.0,0.9750000000000002,0.9697,500
exp2,Exp2 Stochastic Baseline,baseline,0,native,0.1,True,10000,0.7,0.77,0.6900000000000001,0.6323,1000
exp2,Exp2 Stochastic Baseline,baseline,1,native,0.1,True,10000,0.49,0.75,0.665,0.2917,8500
exp2,Exp2 Stochastic Baseline,baseline,2,native,0.1,True,10000,0.7,0.75,0.665,0.3036,9000
exp2,Exp2 Stochastic Baseline,baseline,3,native,0.1,True,10000,0.7,0.78,0.6900000000000001,0.573,5000
exp2,Exp2 Stochastic Baseline,baseline,4,native,0.1,True,10000,0.7,0.76,0.66,0.5067,6500
exp3_alpha_0.01,Exp3 Alpha 0.01,alpha,0,native,0.01,True,10000,0.08,0.13,0.065,0.071,
exp3_alpha_0.01,Exp3 Alpha 0.01,alpha,1,native,0.01,True,10000,0.05,0.08,0.045,0.0511,
exp3_alpha_0.01,Exp3 Alpha 0.01,alpha,2,native,0.01,True,10000,0.06,0.12,0.08,0.0682,
exp3_alpha_0.01,Exp3 Alpha 0.01,alpha,3,native,0.01,True,10000,0.06,0.1,0.09,0.0535,
exp3_alpha_0.01,Exp3 Alpha 0.01,alpha,4,native,0.01,True,10000,0.06,0.08,0.025,0.0355,
exp3_alpha_0.10,Exp3 Alpha 0.10,alpha,0,native,0.1,True,10000,0.7,0.77,0.6900000000000001,0.6323,1000
exp3_alpha_0.10,Exp3 Alpha 0.10,alpha,1,native,0.1,True,10000,0.49,0.75,0.665,0.2917,8500
exp3_alpha_0.10,Exp3 Alpha 0.10,alpha,2,native,0.1,True,10000,0.7,0.75,0.665,0.3036,9000
exp3_alpha_0.10,Exp3 Alpha 0.10,alpha,3,native,0.1,True,10000,0.7,0.78,0.6900000000000001,0.573,5000
exp3_alpha_0.10,Exp3 Alpha 0.10,alpha,4,native,0.1,True,10000,0.7,0.76,0.66,0.5067,6500
exp3_alpha_0.50,Exp3 Alpha 0.50,alpha,0,native,0.5,True,10000,0.69,0.78,0.54,0.5786,1500
exp3_alpha_0.50,Exp3 Alpha 0.50,alpha,1,native,0.5,True,10000,0.69,0.77,0.6350000000000001,0.5805,500
exp3_alpha_0.50,Exp3 Alpha 0.50,alpha,2,native,0.5,True,10000,0.69,0.78,0.51,0.5731,500
exp3_alpha_0.50,Exp3 Alpha 0.50,alpha,3,native,0.5,True,10000,0.69,0.8,0.625,0.5974,500
exp3_alpha_0.50,Exp3 Alpha 0.50,alpha,4,native,0.5,True,10000,0.72,0.78,0.55,0.5834,2000
