suite,map_size,frozen_prob,map_id,map_label,map_seed,oracle_success,layout,holes
random8,8x8,0.8,0,p0.80_m0,18800,1.0,SFFFFFFF/FFFFFFFF/FFFHFFFF/FFHHHFFF/HFFFFHFF/HFFFFFFF/FFFFFFFF/FFFFFFFG,7
random8,8x8,0.8,1,p0.80_m1,18801,0.9933333333333333,SFFFFFFF/FFFFHFFF/FFFFFFFF/FHFFFFFF/FHHFHHFF/FHHFFFFF/FHFFFFFF/FFHFHFFG,11
random8,8x8,0.8,2,p0.80_m2,18802,0.94,SFFFFFFF/FFHFHFFF/FFFHFFFF/FFFFFFFF/FHFFHFFH/FFFFFFFH/FHFFFFFF/FFFHFFFG,9
random8,8x8,0.8,3,p0.80_m3,18803,0.9966666666666667,SFFFFFHF/FFFFFFFF/FFFFFFHH/FFHFFFFF/HFFFFFFF/FFFFFFFF/FHFFFFFF/FFFHFHFG,8
random8,8x8,0.8,4,p0.80_m4,18804,1.0,SFFFHFFF/FHFFFFFF/HHFFFFHF/FFFFFFFF/FFFFFFFH/FHFFFFFF/FFFFFFFF/HHFFHFFG,10
random8,8x8,0.85,0,p0.85_m0,18850,1.0,SFFFFFFF/FFFFFHFF/FFFFFFFF/FFFFFFFF/FFFFFFFF/FFFFFFFF/FHFFFFFF/FFFFHFFG,3
random8,8x8,0.85,1,p0.85_m1,18851,0.9933333333333333,SFFHFFFF/FFFFFFFF/HFFFFFFF/FFFFFFFF/FFFFHFFF/FFFFFFFF/FHFFHFFF/FFHFFHFG,7
random8,8x8,0.85,2,p0.85_m2,18852,0.9433333333333334,SFFFFHFF/FFFFHFFF/FFHFFFFF/FFFFFFFH/FFFFFFFF/FFHFHHFF/FFFHFFFF/FFFFFFFG,8
random8,8x8,0.85,3,p0.85_m3,18853,0.98,SFFFFFFF/FFFFFFFH/FFFHFFFF/FFFFFFFF/FHFFFFFF/HFFFFFFF/FFFFHHHF/HFFFFFFG,8
random8,8x8,0.85,4,p0.85_m4,18854,1.0,SFFFFHFH/FFFFFFFF/FHFFFFFF/FFFFFFFF/HFFFFFFF/FFFFFFHF/FFFFFFFF/HFHFFFFG,7
random8,8x8,0.9,0,p0.90_m0,18900,0.9733333333333334,SFFFFFFF/HFFFFFFF/HFFFFHFF/FFFFFFFF/FFHFFFFF/FFHFHFFF/HFFFFFFF/FFFFFFFG,7
random8,8x8,0.9,1,p0.90_m1,18901,1.0,SFFFHFFF/FFFFFFFF/FFFFFFHF/FFFFFFFF/HFFFFFFF/HFFFFFFF/FFFFFFFF/FFFFFFFG,4
random8,8x8,0.9,2,p0.90_m2,18902,1.0,SFFFFFFH/FFFFFFFF/FFFFFFFF/FFFFFFFF/FFFFFFHF/FFFHFFFF/HFHFFFFF/HFFFFFFG,6
random8,8x8,0.9,3,p0.90_m3,18903,1.0,SFFFFHFF/FFFFFFHF/FFFFFFFF/FFFFFFFF/FFFFFFFF/FFFFFHFF/FFFFFFFF/FFFFFFFG,3
random8,8x8,0.9,4,p0.90_m4,18904,1.0,SFFFFFFF/FFFFFFFF/FFFHFFFF/FFFFFFFF/FFFFFFFH/FFHHHFFH/FFFFFFFF/FFFFFFFG,6
random8,8x8,0.95,0,p0.95_m0,18950,1.0,SFFFFHFF/FFFFFFHF/FFFFFFFF/HFFFFFFF/FFFFFFFF/FFFFFHFF/FFHFFFFF/FFFFHFFG,6
random8,8x8,0.95,1,p0.95_m1,18951,0.9733333333333334,SFFFFFFF/FFFFFFFF/FFFFFHFF/FFFHFFFF/FFFFFHFF/HFFFFFFF/FFFFFFFF/FFFHFHFG,6
random8,8x8,0.95,2,p0.95_m2,18952,1.0,SFFFFFFF/FFFFFFFF/FFFFFFFF/FFFFFFFF/FFFFFFFF/FFFFFFFH/FFHFFFFF/FFFFFFFG,2
random8,8x8,0.95,3,p0.95_m3,18953,1.0,SFFFFFFF/FFFFFFFF/FFFFFFFF/FHFFFFFH/FHFFFFHF/FFFFFHFF/FFFFFFFF/FFFFFFFG,5
random8,8x8,0.95,4,p0.95_m4,18954,1.0,SFFFFFFF/FFFFFFFF/FFFFFFHF/FFFFFFFF/FFFFFFFF/FFFFFFFF/FFFFFFFF/FFFFFFFG,1
