algorithm,display_algorithm,frozen_prob,map_id,map_label,seed,episode,success_rate,suite,map_size,oracle_success,holes
q_learning,Q-learning,0.8,0,p0.80_m0,0,0,0.02,random8,8x8,1.0,7
q_learning,Q-learning,0.8,0,p0.80_m0,0,500,0.44,random8,8x8,1.0,7
q_learning,Q-learning,0.8,0,p0.80_m0,0,1000,0.64,random8,8x8,1.0,7
q_learning,Q-learning,0.8,0,p0.80_m0,0,1500,0.64,random8,8x8,1.0,7
q_learning,Q-learning,0.8,0,p0.80_m0,0,2000,0.74,random8,8x8,1.0,7
q_learning,Q-learning,0.8,0,p0.80_m0,0,2500,0.88,random8,8x8,1.0,7
q_learning,Q-learning,0.8,0,p0.80_m0,0,3000,0.94,random8,8x8,1.0,7
q_learning,Q-learning,0.8,0,p0.80_m0,0,3500,0.88,random8,8x8,1.0,7
q_learning,Q-learning,0.8,0,p0.80_m0,0,4000,0.9,random8,8x8,1.0,7
q_learning,Q-learning,0.8,0,p0.80_m0,0,4500,0.92,random8,8x8,1.0,7
q_learning,Q-learning,0.8,0,p0.80_m0,0,5000,0.96,random8,8x8,1.0,7
q_learning,Q-learning,0.8,0,p0.80_m0,0,5500,0.88,random8,8x8,1.0,7
q_learning,Q-learning,0.8,0,p0.80_m0,0,6000,0.92,random8,8x8,1.0,7
q_learning,Q-learning,0.8,0,p0.80_m0,0,6500,1.0,random8,8x8,1.0,7
q_learning,Q-learning,0.8,0,p0.80_m0,0,7000,0.98,random8,8x8,1.0,7
q_learning,Q-learning,0.8,0,p0.80_m0,0,7500,0.94,random8,8x8,1.0,7
q_learning,Q-learning,0.8,0,p0.80_m0,0,8000,0.98,random8,8x8,1.0,7
q_learning,Q-learning,0.8,0,p0.80_m0,0,8500,0.98,random8,8x8,1.0,7
q_learning,Q-learning,0.8,0,p0.80_m0,0,9000,0.98,random8,8x8,1.0,7
q_learning,Q-learning,0.8,0,p0.80_m0,0,9500,1.0,random8,8x8,1.0,7
q_learning,Q-learning,0.8,0,p0.80_m0,0,10000,1.0,random8,8x8,1.0,7
sarsa,SARSA,0.8,0,p0.80_m0,0,0,0.02,random8,8x8,1.0,7
sarsa,SARSA,0.8,0,p0.80_m0,0,500,0.28,random8,8x8,1.0,7
sarsa,SARSA,0.8,0,p0.80_m0,0,1000,0.22,random8,8x8,1.0,7
sarsa,SARSA,0.8,0,p0.80_m0,0,1500,0.32,random8,8x8,1.0,7
sarsa,SARSA,0.8,0,p0.80_m0,0,2000,0.4,random8,8x8,1.0,7
sarsa,SARSA,0.8,0,p0.80_m0,0,2500,0.48,random8,8x8,1.0,7
sarsa,SARSA,0.8,0,p0.80_m0,0,3000,0.64,random8,8x8,1.0,7
sarsa,SARSA,0.8,0,p0.80_m0,0,3500,0.9,random8,8x8,1.0,7
sarsa,SARSA,0.8,0,p0.80_m0,0,4000,0.82,random8,8x8,1.0,7
sarsa,SARSA,0.8,0,p0.80_m0,0,4500,0.8,random8,8x8,1.0,7
sarsa,SARSA,0.8,0,p0.80_m0,0,5000,0.92,random8,8x8,1.0,7
sarsa,SARSA,0.8,0,p0.80_m0,0,5500,0.78,random8,8x8,1.0,7
sarsa,SARSA,0.8,0,p0.80_m0,0,6000,0.82,random8,8x8,1.0,7
sarsa,SARSA,0.8,0,p0.80_m0,0,6500,0.88,random8,8x8,1.0,7
sarsa,SARSA,0.8,0,p0.80_m0,0,7000,0.84,random8,8x8,1.0,7
sarsa,SARSA,0.8,0,p0.80_m0,0,7500,0.78,random8,8x8,1.0,7
sarsa,SARSA,0.8,0,p0.80_m0,0,8000,0.84,random8,8x8,1.0,7
sarsa,SARSA,0.8,0,p0.80_m0,0,8500,0.86,random8,8x8,1.0,7
sarsa,SARSA,0.8,0,p0.80_m0,0,9000,0.92,random8,8x8,1.0,7
sarsa,SARSA,0.8,0,p0.80_m0,0,9500,0.92,random8,8x8,1.0,7
sarsa,SARSA,0.8,0,p0.80_m0,0,10000,0.9,random8,8x8,1.0,7
expected_sarsa,Expected SARSA,0.8,0,p0.80_m0,0,0,0.02,random8,8x8,1.0,7
expected_sarsa,Expected SARSA,0.8,0,p0.80_m0,0,500,0.16,random8,8x8,1.0,7
expected_sarsa,Expected SARSA,0.8,0,p0.80_m0,0,1000,0.12,random8,8x8,1.0,7
expected_sarsa,Expected SARSA,0.8,0,p0.80_m0,0,1500,0.18,random8,8x8,1.0,7
expected_sarsa,Expected SARSA,0.8,0,p0.80_m0,0,2000,0.22,random8,8x8,1.0,7
