frozen_prob,display_algorithm,mean_success,std_success
0.8,Q-learning,0.6839999999999999,0.25353500744473134
0.8,SARSA,0.78,0.18814887722226778
0.8,Expected SARSA,0.828,0.10825894882179486
0.8,SARSA(lambda),0.6359999999999999,0.40283991857808726
0.8,Q(lambda),0.784,0.25314027731674776
0.8,Optimistic Q,0.9879999999999999,0.026832815729997503
0.8,Dyna-Q,0.8720000000000001,0.05403702434442511
0.85,Q-learning,0.9,0.08602325267042622
0.85,SARSA,0.9199999999999999,0.05291502622129178
0.85,Expected SARSA,0.8240000000000001,0.16816658407662324
0.85,SARSA(lambda),0.82,0.19078784028338905
0.85,Q(lambda),0.796,0.2836899716239543
0.85,Optimistic Q,0.976,0.032863353450309954
0.85,Dyna-Q,0.8400000000000001,0.24859605789312103
0.9,Q-learning,0.9719999999999999,0.02683281572999749
0.9,SARSA,0.9279999999999999,0.07563068160475615
0.9,Expected SARSA,0.9640000000000001,0.040987803063838375
0.9,SARSA(lambda),0.8480000000000001,0.14872793954062566
0.9,Q(lambda),0.96,0.061644140029689806
0.9,Optimistic Q,0.992,0.017888543819998326
0.9,Dyna-Q,0.8640000000000001,0.2597691282658507
0.95,Q-learning,0.96,0.05477225575051658
0.95,SARSA,0.952,0.06099180272790762
0.95,Expected SARSA,0.992,0.010954451150103333
0.95,SARSA(lambda),0.828,0.22163032283512107
0.95,Q(lambda),0.952,0.06099180272790762
0.95,Optimistic Q,0.9960000000000001,0.008944271909999166
0.95,Dyna-Q,0.9039999999999999,0.10039920318408903
