algorithm,display_algorithm,frozen_prob,map_id,map_label,seed,episode,success_rate,suite,map_size,oracle_success,holes,oracle_gap,eval_auc,first_episode_success_ge_0p8,suite_label
expected_sarsa,Expected SARSA,0.95,4,p0.95_m4,0,10000,0.98,random8,8x8,1.0,1,0.020000000000000018,0.9205,500.0,Random 8x8 long
sarsa,SARSA,0.95,4,p0.95_m4,0,10000,1.0,random8,8x8,1.0,1,0.0,0.936,500.0,Random 8x8 long
sarsa_lambda,SARSA(lambda),0.95,4,p0.95_m4,0,10000,1.0,random8,8x8,1.0,1,0.0,0.977,500.0,Random 8x8 long
q_learning,Q-learning,0.95,4,p0.95_m4,0,10000,1.0,random8,8x8,1.0,1,0.0,0.952,500.0,Random 8x8 long
q_lambda,Q(lambda),0.95,4,p0.95_m4,0,10000,1.0,random8,8x8,1.0,1,0.0,0.935,1000.0,Random 8x8 long
optimistic_q,Optimistic Q,0.95,4,p0.95_m4,0,10000,1.0,random8,8x8,1.0,1,0.0,0.967,1000.0,Random 8x8 long
dyna_q,Dyna-Q,0.85,4,p0.85_m4,0,10000,0.9,random8,8x8,1.0,7,0.09999999999999998,0.8465,500.0,Random 8x8 long
optimistic_q,Optimistic Q,0.95,3,p0.95_m3,0,10000,1.0,random8,8x8,1.0,5,0.0,0.935,1000.0,Random 8x8 long
optimistic_q,Optimistic Q,0.8,4,p0.80_m4,0,10000,1.0,random8,8x8,1.0,10,0.0,0.93,1000.0,Random 8x8 long
dyna_q,Dyna-Q,0.8,4,p0.80_m4,0,10000,0.9,random8,8x8,1.0,10,0.09999999999999998,0.7515,1500.0,Random 8x8 long
sarsa,SARSA,0.85,0,p0.85_m0,0,10000,0.9,random8,8x8,1.0,3,0.09999999999999998,0.8465,2500.0,Random 8x8 long
expected_sarsa,Expected SARSA,0.85,0,p0.85_m0,0,10000,0.96,random8,8x8,1.0,3,0.040000000000000036,0.904,1000.0,Random 8x8 long
sarsa_lambda,SARSA(lambda),0.85,0,p0.85_m0,0,10000,1.0,random8,8x8,1.0,3,0.0,0.964,500.0,Random 8x8 long
q_lambda,Q(lambda),0.85,0,p0.85_m0,0,10000,1.0,random8,8x8,1.0,3,0.0,0.935,1000.0,Random 8x8 long
optimistic_q,Optimistic Q,0.85,0,p0.85_m0,0,10000,1.0,random8,8x8,1.0,3,0.0,0.974,500.0,Random 8x8 long
dyna_q,Dyna-Q,0.85,0,p0.85_m0,0,10000,1.0,random8,8x8,1.0,3,0.0,0.914,1000.0,Random 8x8 long
q_learning,Q-learning,0.85,1,p0.85_m1,0,10000,0.94,random8,8x8,0.9933333333333332,7,0.05333333333333323,0.7275,4500.0,Random 8x8 long
