map_label,frozen_prob,map_id,holes,oracle_success,mean_final_success,best_final_success,worst_final_success,best_algorithm
p0.80_m0,0.8,0,7,1.0,0.9457142857142857,1.0,0.88,Q-learning
p0.80_m1,0.8,1,11,0.9933333333333332,0.88,1.0,0.46,Optimistic Q
p0.80_m2,0.8,2,9,0.94,0.5657142857142857,0.94,0.02,Optimistic Q
p0.80_m3,0.8,3,8,0.9966666666666668,0.8542857142857143,1.0,0.66,Optimistic Q
p0.80_m4,0.8,4,10,1.0,0.7342857142857143,1.0,0.54,Optimistic Q
p0.85_m0,0.85,0,3,1.0,0.9771428571428571,1.0,0.9,SARSA(lambda)
p0.85_m1,0.85,1,7,0.9933333333333332,0.9342857142857143,0.98,0.9,Optimistic Q
p0.85_m2,0.85,2,8,0.9433333333333334,0.7314285714285714,0.96,0.32,Dyna-Q
p0.85_m3,0.85,3,8,0.98,0.7371428571428572,0.98,0.4,Optimistic Q
p0.85_m4,0.85,4,7,1.0,0.96,1.0,0.9,Q(lambda)
p0.90_m0,0.9,0,7,0.9733333333333334,0.8200000000000001,0.98,0.4,Expected SARSA
p0.90_m1,0.9,1,4,1.0,0.9942857142857143,1.0,0.96,Q-learning
p0.90_m2,0.9,2,6,1.0,0.9485714285714285,1.0,0.82,Q-learning
p0.90_m3,0.9,3,3,1.0,0.9828571428571429,1.0,0.94,Expected SARSA
p0.90_m4,0.9,4,6,1.0,0.9171428571428571,1.0,0.66,Optimistic Q
p0.95_m0,0.95,0,6,1.0,0.9257142857142858,1.0,0.86,Expected SARSA
p0.95_m1,0.95,1,6,0.9733333333333334,0.8885714285714286,1.0,0.74,Q-learning
p0.95_m2,0.95,2,2,1.0,0.9942857142857143,1.0,0.98,Q-learning
p0.95_m3,0.95,3,5,1.0,0.9,1.0,0.48,Optimistic Q
p0.95_m4,0.95,4,1,1.0,0.9942857142857143,1.0,0.98,SARSA
