group,map_label,map_id,algorithm,display_algorithm,seed,episode,success_rate
standard8,standard8,0,q_learning,Q-learning,0,0,0.0
standard8,standard8,0,q_learning,Q-learning,0,500,0.02
standard8,standard8,0,q_learning,Q-learning,0,1000,0.06
standard8,standard8,0,q_learning,Q-learning,0,1500,0.18
standard8,standard8,0,q_learning,Q-learning,0,2000,0.17
standard8,standard8,0,q_learning,Q-learning,0,2500,0.49
standard8,standard8,0,q_learning,Q-learning,0,3000,0.77
standard8,standard8,0,q_learning,Q-learning,0,3500,0.74
standard8,standard8,0,q_learning,Q-learning,0,4000,0.63
standard8,standard8,0,q_learning,Q-learning,0,4500,0.79
standard8,standard8,0,q_learning,Q-learning,0,5000,0.71
standard8,standard8,0,q_learning,Q-learning,0,5500,0.87
standard8,standard8,0,q_learning,Q-learning,0,6000,0.5
standard8,standard8,0,q_learning,Q-learning,0,6500,0.46
standard8,standard8,0,q_learning,Q-learning,0,7000,0.77
standard8,standard8,0,q_learning,Q-learning,0,7500,0.83
standard8,standard8,0,q_learning,Q-learning,0,8000,0.73
standard8,standard8,0,q_learning,Q-learning,0,8500,0.83
standard8,standard8,0,q_learning,Q-learning,0,9000,0.86
standard8,standard8,0,q_learning,Q-learning,0,9500,0.8
standard8,standard8,0,q_learning,Q-learning,0,10000,0.78
standard8,standard8,0,sarsa,SARSA,0,0,0.0
standard8,standard8,0,sarsa,SARSA,0,500,0.0
standard8,standard8,0,sarsa,SARSA,0,1000,0.07
standard8,standard8,0,sarsa,SARSA,0,1500,0.19
standard8,standard8,0,sarsa,SARSA,0,2000,0.3
standard8,standard8,0,sarsa,SARSA,0,2500,0.58
standard8,standard8,0,sarsa,SARSA,0,3000,0.83
standard8,standard8,0,sarsa,SARSA,0,3500,0.8
standard8,standard8,0,sarsa,SARSA,0,4000,0.68
standard8,standard8,0,sarsa,SARSA,0,4500,0.86
standard8,standard8,0,sarsa,SARSA,0,5000,0.66
standard8,standard8,0,sarsa,SARSA,0,5500,0.76
standard8,standard8,0,sarsa,SARSA,0,6000,0.9
standard8,standard8,0,sarsa,SARSA,0,6500,0.86
standard8,standard8,0,sarsa,SARSA,0,7000,0.69
standard8,standard8,0,sarsa,SARSA,0,7500,0.89
standard8,standard8,0,sarsa,SARSA,0,8000,0.88
standard8,standard8,0,sarsa,SARSA,0,8500,0.65
standard8,standard8,0,sarsa,SARSA,0,9000,0.81
standard8,standard8,0,sarsa,SARSA,0,9500,0.84
standard8,standard8,0,sarsa,SARSA,0,10000,0.74
standard8,standard8,0,expected_sarsa,Expected SARSA,0,0,0.0
standard8,standard8,0,expected_sarsa,Expected SARSA,0,500,0.0
standard8,standard8,0,expected_sarsa,Expected SARSA,0,1000,0.0
standard8,standard8,0,expected_sarsa,Expected SARSA,0,1500,0.14
standard8,standard8,0,expected_sarsa,Expected SARSA,0,2000,0.12
standard8,standard8,0,expected_sarsa,Expected SARSA,0,2500,0.53
standard8,standard8,0,expected_sarsa,Expected SARSA,0,3000,0.64
standard8,standard8,0,expected_sarsa,Expected SARSA,0,3500,0.84
standard8,standard8,0,expected_sarsa,Expected SARSA,0,4000,0.7
standard8,standard8,0,expected_sarsa,Expected SARSA,0,4500,0.78
standard8,standard8,0,expected_sarsa,Expected SARSA,0,5000,0.77
standard8,standard8,0,expected_sarsa,Expected SARSA,0,5500,0.82
standard8,standard8,0,expected_sarsa,Expected SARSA,0,6000,0.85
standard8,standard8,0,expected_sarsa,Expected SARSA,0,6500,0.86
standard8,standard8,0,expected_sarsa,Expected SARSA,0,7000,0.79
standard8,standard8,0,expected_sarsa,Expected SARSA,0,7500,0.82
standard8,standard8,0,expected_sarsa,Expected SARSA,0,8000,0.82
standard8,standard8,0,expected_sarsa,Expected SARSA,0,8500,0.86
standard8,standard8,0,expected_sarsa,Expected SARSA,0,9000,0.82
standard8,standard8,0,expected_sarsa,Expected SARSA,0,9500,0.81
standard8,standard8,0,expected_sarsa,Expected SARSA,0,10000,0.85
standard8,standard8,0,sarsa_lambda,SARSA(lambda),0,0,0.0
standard8,standard8,0,sarsa_lambda,SARSA(lambda),0,500,0.12
standard8,standard8,0,sarsa_lambda,SARSA(lambda),0,1000,0.13
standard8,standard8,0,sarsa_lambda,SARSA(lambda),0,1500,0.4
standard8,standard8,0,sarsa_lambda,SARSA(lambda),0,2000,0.23
standard8,standard8,0,sarsa_lambda,SARSA(lambda),0,2500,0.82
standard8,standard8,0,sarsa_lambda,SARSA(lambda),0,3000,0.78
standard8,standard8,0,sarsa_lambda,SARSA(lambda),0,3500,0.13
standard8,standard8,0,sarsa_lambda,SARSA(lambda),0,4000,0.56
standard8,standard8,0,sarsa_lambda,SARSA(lambda),0,4500,0.55
standard8,standard8,0,sarsa_lambda,SARSA(lambda),0,5000,0.44
standard8,standard8,0,sarsa_lambda,SARSA(lambda),0,5500,0.75
standard8,standard8,0,sarsa_lambda,SARSA(lambda),0,6000,0.5
standard8,standard8,0,sarsa_lambda,SARSA(lambda),0,6500,0.8
standard8,standard8,0,sarsa_lambda,SARSA(lambda),0,7000,0.63
standard8,standard8,0,sarsa_lambda,SARSA(lambda),0,7500,0.0
standard8,standard8,0,sarsa_lambda,SARSA(lambda),0,8000,0.01
standard8,standard8,0,sarsa_lambda,SARSA(lambda),0,8500,0.7
standard8,standard8,0,sarsa_lambda,SARSA(lambda),0,9000,0.68
standard8,standard8,0,sarsa_lambda,SARSA(lambda),0,9500,0.07
standard8,standard8,0,sarsa_lambda,SARSA(lambda),0,10000,0.76
standard8,standard8,0,q_lambda,Q(lambda),0,0,0.0
standard8,standard8,0,q_lambda,Q(lambda),0,500,0.0
standard8,standard8,0,q_lambda,Q(lambda),0,1000,0.12
standard8,standard8,0,q_lambda,Q(lambda),0,1500,0.26
