group,map_label,map_id,map_seed,p,layout,holes,oracle_success
standard8,standard8,0,31000,,SFFFFFFF/FFFFFFFF/FFFHFFFF/FFFFFHFF/FFFHFFFF/FHHFFFHF/FHFFHFHF/FFFHFFFG,10,0.861
p0.80,p0.80_m0,1,39000,0.8,SHFFHFFH/FFFFFHFF/FFFFFFFF/FFFHFFHH/FFHFHFFF/FFFHHFFH/FHHFHFFF/FHFFFFFG,16,0.151
p0.80,p0.80_m1,2,39001,0.8,SFFFFHFF/FFFHFHFF/FFFHFFFF/FFHFFHHH/FFFFFFFF/FHFFFFFH/HHFFHFFF/FHHFFHFG,16,0.287
p0.80,p0.80_m2,3,39002,0.8,SHHFFFFF/FFFFFFFF/FFFHFHHF/FFFFFFFH/FFFFHFFF/FFFFFFFF/FFHFFFFF/FFFFFFFG,8,0.955
p0.70,p0.70_m0,4,38000,0.7,SFFFFFFH/FHFFFHFF/FHFFHFHF/HHFFFFHF/HFFFFFHF/FFFHFFFF/FFFFFFFF/FFHFHFHG,15,0.458
p0.70,p0.70_m1,5,38001,0.7,SFFFFFFF/FFFFHFFF/HFHHFHFF/FFFFFFFF/FFFFHFHF/FHFFFHFF/HFFHFHFH/FHHFFHFG,16,0.114
p0.70,p0.70_m2,6,38002,0.7,SFHFHFFF/FFHFFFHF/FHHFFFFF/FFFHFFFF/HFFFHHFF/FFFFFFFF/FFFHFFFF/HFFFHFFG,13,0.247
p0.60,p0.60_m0,7,37000,0.6,SFFFHFHF/FFFFHHFF/HHHFFFFH/HFFFFFHF/HFFHFFFH/FHHHFFFH/FFFFFFFF/HFHFHHHG,22,0.121
p0.60,p0.60_m1,8,37001,0.6,SFHFFFFH/HFFFHFHF/HFFFFFFF/HHHFFFFF/FFFHHHFH/FFFFHHFF/FHFFFHFH/HFHHFHFG,22,0.016
p0.60,p0.60_m2,9,37002,0.6,SHFFFFFF/FHFFHHFF/FFFHFFHF/HHFFFHFF/FHFHHHHF/HHFFFHFF/FHFHFFHH/HHHHHFFG,26,0.0
p0.50,p0.50_m0,10,36000,0.5,SFFFHHFH/HFHFFHFF/HHHFHHHH/HHHFFFFF/HFHHFFHF/HFFHFHHF/FHHFFHHF/FHHHFHHG,33,0.001
p0.50,p0.50_m1,11,36001,0.5,SFFFFHFF/FFHHFFFH/HHHHHFHF/FFFHHFHF/HHFFHFFF/HFHFFHFF/HHHFFFHF/FFFFFFHG,24,0.008
p0.50,p0.50_m2,12,36002,0.5,SFHFFFHH/HFFFHFHF/FHFFFFFH/HFFFHHFH/HHFHHHFH/FHHHFFFH/HFFFFFHF/FFFHHFFG,26,0.0
