group,map_label,mean_final_success,best_final_success,worst_final_success,p,holes,oracle_success,layout
p0.50,p0.50_m0,0.0,0.0,0.0,0.5,33,0.001,SFFFHHFH/HFHFFHFF/HHHFHHHH/HHHFFFFF/HFHHFFHF/HFFHFHHF/FHHFFHHF/FHHHFHHG
p0.50,p0.50_m1,0.0,0.0,0.0,0.5,24,0.008,SFFFFHFF/FFHHFFFH/HHHHHFHF/FFFHHFHF/HHFFHFFF/HFHFFHFF/HHHFFFHF/FFFFFFHG
p0.50,p0.50_m2,0.0,0.0,0.0,0.5,26,0.0,SFHFFFHH/HFFFHFHF/FHFFFFFH/HFFFHHFH/HHFHHHFH/FHHHFFFH/HFFFFFHF/FFFHHFFG
p0.60,p0.60_m0,0.022857142857142857,0.16,0.0,0.6,22,0.121,SFFFHFHF/FFFFHHFF/HHHFFFFH/HFFFFFHF/HFFHFFFH/FHHHFFFH/FFFFFFFF/HFHFHHHG
p0.60,p0.60_m1,0.0,0.0,0.0,0.6,22,0.016,SFHFFFFH/HFFFHFHF/HFFFFFFF/HHHFFFFF/FFFHHHFH/FFFFHHFF/FHFFFHFH/HFHHFHFG
p0.60,p0.60_m2,0.0,0.0,0.0,0.6,26,0.0,SHFFFFFF/FHFFHHFF/FFFHFFHF/HHFFFHFF/FHFHHHHF/HHFFFHFF/FHFHFFHH/HHHHHFFG
p0.70,p0.70_m0,0.06142857142857143,0.42,0.0,0.7,15,0.458,SFFFFFFH/FHFFFHFF/FHFFHFHF/HHFFFFHF/HFFFFFHF/FFFHFFFF/FFFFFFFF/FFHFHFHG
p0.70,p0.70_m1,0.0,0.0,0.0,0.7,16,0.114,SFFFFFFF/FFFFHFFF/HFHHFHFF/FFFFFFFF/FFFFHFHF/FHFFFHFF/HFFHFHFH/FHHFFHFG
p0.70,p0.70_m2,0.032857142857142856,0.23,0.0,0.7,13,0.247,SFHFHFFF/FFHFFFHF/FHHFFFFF/FFFHFFFF/HFFFHHFF/FFFFFFFF/FFFHFFFF/HFFFHFFG
p0.80,p0.80_m0,0.02142857142857143,0.15,0.0,0.8,16,0.151,SHFFHFFH/FFFFFHFF/FFFFFFFF/FFFHFFHH/FFHFHFFF/FFFHHFFH/FHHFHFFF/FHFFFFFG
p0.80,p0.80_m1,0.06714285714285714,0.3,0.0,0.8,16,0.287,SFFFFHFF/FFFHFHFF/FFFHFFFF/FFHFFHHH/FFFFFFFF/FHFFFFFH/HHFFHFFF/FHHFFHFG
p0.80,p0.80_m2,0.87,0.98,0.73,0.8,8,0.955,SHHFFFFF/FFFFFFFF/FFFHFHHF/FFFFFFFH/FFFFHFFF/FFFFFFFF/FFHFFFFF/FFFFFFFG
standard8,standard8,0.7085714285714285,0.85,0.16,,10,0.861,SFFFFFFF/FFFFFFFF/FFFHFFFF/FFFFFHFF/FFFHFFFF/FHHFFFHF/FHFFHFHF/FFFHFFFG
